expiry,type,dte,strike,iv,delta
2023-02-24,call,0,84,0.5651,0.417
2023-03-03,call,7,84,0.5215,0.5057
2023-03-10,call,14,84,0.5556,0.5196
2023-03-17,call,21,85,0.6032,0.4977
2023-03-24,call,28,86,0.7129,0.4959
2023-03-31,call,35,86,0.6782,0.5029
2023-04-06,call,41,86,0.6613,0.5084
2023-04-21,call,56,85,0.6307,0.5386
2023-06-16,call,112,90,0.6205,0.5051
2023-07-21,call,147,90,0.6018,0.5235
2023-09-15,call,203,95,0.5987,0.5043
2023-10-20,call,238,100,0.6015,0.4786
2024-01-19,call,329,100,0.5824,0.5182
2025-01-17,call,693,125,0.5564,0.4955
